20180821_055341.782_0x26080126.png;6s 5h 10h 
20180821_060003.065_0x173E0290.png;5s 8d 9h 
20180821_062523.457_0x21840198.png;Ad 5h 8d 8s 
20180821_064009.827_0x1934025E.png;Js Ah 10s Qs Kc 
20180821_072633.514_0x356801A2.png;Ad 5d 5s 
20180821_080219.418_0x13910258.png;Qh 7c 6s 
20180821_084134.865_0x240C023E.png;Kh 3d 2d 10c 
20180821_091126.795_0x0EDA02B0.png;7h Qs 5s 
20180821_091220.884_0x0EDA02B0.png;Qs 7c Ah 
20180821_091328.300_0x0EDA02B0.png;9h 9c As 
20180821_091532.020_0x0EDA02B0.png;Qh 8c Kc 
20180821_091716.755_0x0EDA02B0.png;5c 2s 2c 
20180821_091842.811_0x0EDA02B0.png;6c Ac Js 
20180821_092326.632_0x0EDA02B0.png;Kc Jd Kh 
20180821_092407.903_0x0EDA02B0.png;As 4h 9d 
20180821_092500.887_0x0EDA02B0.png;3c 6s Kd 
20180821_092548.239_0x0EDA02B0.png;8c 9s 6s 
20180821_092757.986_0x0EDA02B0.png;Kh 5c Ah 
20180821_092841.907_0x0EDA02B0.png;Jh Qd Kd 
20180821_093042.838_0x1FE201D8.png;7s 10d 6s 
20180821_093116.384_0x1FE201D8.png;4c 9d Js 
20180821_093119.384_0x0EDA02B0.png;Qd 8d Ks 
20180821_093223.794_0x1FE201D8.png;Ks 10s Js 
20180821_093307.189_0x1FE201D8.png;Qd 9c 7s 
20180821_093436.498_0x1FE201D8.png;6c 9c 5c 
20180821_093516.072_0x1FE201D8.png;8h 3c Js 
20180821_093525.214_0x0EDA02B0.png;4s 7h 3s 
20180821_093605.240_0x1FE201D8.png;7c 6s 3h 
20180821_093622.029_0x0EDA02B0.png;10c 3s 9s 
20180821_093635.645_0x1FE201D8.png;9h Jd 2s 
20180821_093714.230_0x1FE201D8.png;Qs 10h 9s 
20180821_093736.244_0x1FE201D8.png;10s Ac 10d 
20180821_093817.171_0x1FE201D8.png;9h Kh As 
20180821_093850.288_0x0EDA02B0.png;Qd 6d 4d 
20180821_093909.900_0x1FE201D8.png;2s 6d Kd 
20180821_093935.863_0x0EDA02B0.png;3h Qs 4s 
20180821_094036.670_0x1FE201D8.png;Kh 2s 2d 
20180821_094128.878_0x1FE201D8.png;3c Jc 9d Ac 
20180821_094236.839_0x1FE201D8.png;Ah Ad Qc 
20180821_094313.648_0x0EDA02B0.png;8d 2h Qc 
20180821_094313.951_0x1FE201D8.png;10s Ah 7c 
20180821_094353.982_0x1FE201D8.png;8s Jh 5s 
20180821_094423.256_0x1FE201D8.png;10c Qc 7s 
20180821_094450.827_0x0EDA02B0.png;Jh 6c 4h 
20180821_094458.109_0x1FE201D8.png;2s Ks 2c 
20180821_094533.036_0x1FE201D8.png;Ac Qd 8h 
20180821_094655.897_0x1FE201D8.png;10d Ah 10h 
20180821_094732.846_0x1FE201D8.png;Jd 10d Ac 
20180821_094755.280_0x0EDA02B0.png;Ad 8s Jc 
20180821_094823.078_0x1FE201D8.png;7s 8c 6c 
20180821_094920.436_0x1FE201D8.png;6s 5h Qh 
20180821_094953.336_0x0EDA02B0.png;8s 7h 5c 
20180821_095029.657_0x1FE201D8.png;9s 6c 4d 
20180821_095119.701_0x1FE201D8.png;8s 9h Ad 
20180821_095123.702_0x0EDA02B0.png;5h 3h 6c 
20180821_095240.289_0x1FE201D8.png;Kd 2s 6c 
20180821_095243.212_0x0EDA02B0.png;7c 5s 2c 
20180821_095329.292_0x1FE201D8.png;5c Kh 2h 
20180821_095427.623_0x0EDA02B0.png;3c 7s Kc 8d 
20180821_095438.605_0x1FE201D8.png;4s 7c 9c 
20180821_095528.057_0x1FE201D8.png;Ac 9c 2h 
20180821_095541.561_0x0EDA02B0.png;Qc Kh 4s 
20180821_095616.438_0x1FE201D8.png;5s Kc Ks 
20180821_095704.200_0x1FE201D8.png;Qc 9d 6s 
20180821_095755.396_0x0EDA02B0.png;5d Kh As 
20180821_100002.173_0x1FE201D8.png;6s 3d 10c 
20180821_100127.029_0x1FE201D8.png;2h As 4d 
20180821_100129.193_0x0EDA02B0.png;6d 2d 10h 
20180821_100204.027_0x1FE201D8.png;4c Ac 10c 
20180821_100250.115_0x1FE201D8.png;10c Js 9c 
20180821_100304.831_0x0EDA02B0.png;3s 4s Js 
